-SS-8
TTFW:1.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,false,0.75,8353,428,8344,428,104138,379
Krys-2,true,1.00,11663,802,11645,360,149746,419
Krys-3,false,0.70,13514,999,13507,999,202068,376
Krys-4,true,1.00,17067,799,17044,619,231518,402
Krys-5,true,1.00,3479,657,3464,105,50541,335
Krys-6,true,1.00,14573,574,14572,446,177866,391
Krys-7,true,1.00,19,561,14,1,180,77
Krys-8,true,1.00,10688,633,10685,329,137622,348
Krys-9,true,1.00,11831,699,11827,371,157257,399
Krys-10,true,1.00,13594,709,13592,421,184723,390
Krys-11,true,1.00,60,701,53,2,635,164
Krys-12,false,0.70,14737,999,14713,999,180894,220
Krys-13,false,0.56,6370,208,6370,208,89236,207
Krys-14,true,1.00,14,465,10,1,114,36
Krys-15,true,1.00,16349,631,16343,551,255523,472
