-SS-7
TTFW:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,163,456,131,4,234,2
Mario-2,true,1.00,693,475,647,19,1403,33
Mario-3,true,1.00,66,411,28,1,150,36
Mario-4,false,0.95,218693,6666,218541,6666,5144703,508
Mario-5,true,1.00,393,644,359,10,898,93
Mario-6,true,1.00,41,430,11,1,328,67
Mario-7,true,1.00,309,615,292,9,3618,288
Mario-8,true,1.00,48,620,23,1,338,155
Mario-9,true,1.00,40,454,27,1,87,21
Mario-10,true,1.00,158,421,130,4,502,44
Mario-11,true,1.00,1182,626,1149,34,3582,130
Mario-12,true,1.00,97,908,32,1,391,104
Mario-13,true,1.00,32,383,6,1,111,14
Mario-14,true,1.00,33,537,10,1,115,16
Mario-15,true,1.00,7385,1212,7356,228,94437,404
