NDW:1.0
TTFW:1.0
DFPT:0.0
DFPAP:7.0
DFPMP:1.75
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,8072,613,8066,247,133331,524
Krys-2,true,1.00,10930,606,10889,330,162261,489
Krys-3,true,1.00,15563,750,15558,484,296054,520
Krys-4,true,1.00,13275,638,13244,415,215441,426
Krys-5,true,1.00,7564,575,7559,229,118542,461
Krys-6,true,1.00,7890,486,7888,242,134396,408
Krys-7,true,1.00,8402,500,8392,254,126010,469
Krys-8,true,1.00,9542,585,9538,289,150069,477
Krys-9,true,1.00,3215,460,3200,97,55050,325
Krys-10,true,1.00,8086,513,8084,247,140947,391
Krys-11,true,1.00,9044,536,9042,275,141385,473
Krys-12,false,0.70,31674,999,31673,999,621659,596
Krys-13,true,1.00,231,482,195,6,2656,109
Krys-14,true,1.00,7991,383,7988,245,111296,484
Krys-15,true,1.00,8176,534,8173,248,127371,425
Krys-16,true,1.00,14783,609,14783,452,214005,431
Krys-17,true,1.00,7559,563,7556,233,117734,473
Krys-18,true,1.00,7627,522,7623,231,114794,361
Krys-19,true,1.00,6623,452,6600,206,101258,497
Krys-20,true,1.00,9021,626,9017,273,142343,493
Krys-21,true,1.00,1455,465,1451,44,23161,229
Krys-22,true,1.00,5178,488,5174,157,82568,492
Krys-23,true,1.00,10262,607,10259,311,157755,379
Krys-24,false,0.70,31494,999,31462,999,567339,420
Krys-25,false,0.18,31570,999,31570,999,595971,207
Krys-26,true,1.00,3204,448,3200,97,52010,250
Krys-27,true,1.00,6174,462,6169,188,95295,555
Krys-28,true,1.00,12574,674,12571,381,206732,480
Krys-29,true,1.00,8916,477,8910,281,146189,411
Krys-30,true,1.00,11255,620,11252,341,172609,389
Krys-31,true,1.00,7255,576,7250,220,98342,417
Krys-32,true,1.00,7255,455,7251,220,115067,317
Krys-33,true,1.00,11779,460,11778,357,165587,447
Krys-34,true,1.00,4624,524,4621,140,67036,345
Krys-35,true,1.00,5940,551,5937,180,98370,397
Krys-36,false,0.91,31214,999,31213,999,561963,343
Krys-37,true,1.00,5680,531,5677,179,95069,514
Krys-38,true,1.00,2247,594,2243,68,41740,314
Krys-39,true,1.00,2945,463,2936,89,48887,270
Krys-40,true,1.00,11679,544,11677,358,187016,488
Krys-41,false,0.70,31658,999,31657,999,586665,360
Krys-42,true,1.00,11316,595,11313,344,169647,484
Krys-43,true,1.00,10689,440,10688,327,151188,476
Krys-44,true,1.00,5711,564,5707,173,96496,324
Krys-45,true,1.00,11849,613,11845,366,173586,530
Krys-46,true,1.00,9212,562,9210,280,149809,442
Krys-47,true,1.00,4161,532,4157,126,69479,300
Krys-48,true,1.00,3865,577,3860,121,59268,331
Krys-49,true,1.00,9406,515,9403,294,131907,467
Krys-50,true,1.00,14094,676,14091,427,234975,613
Krys-51,true,1.00,6537,412,6534,201,102875,427
Krys-52,true,1.00,12381,604,12379,377,191708,376
Krys-53,true,1.00,12142,540,12141,369,180403,378
Krys-54,true,1.00,7332,599,7327,223,130335,415
Krys-55,true,1.00,4486,457,4483,136,70756,360
Krys-56,true,1.00,4951,405,4948,151,77773,444
Krys-57,true,1.00,6602,402,6600,203,89715,424
Krys-58,true,1.00,3800,488,3794,122,56696,469
Krys-59,true,1.00,11608,515,11581,354,164234,441
Krys-60,false,0.91,31563,999,31563,999,558077,499
Krys-61,true,1.00,7263,534,7257,220,114114,484
Krys-62,true,1.00,17621,688,17619,537,253056,467
Krys-63,true,1.00,11982,651,11979,370,185680,450
Krys-64,true,1.00,8067,591,8064,245,133482,478
Krys-65,true,1.00,10809,527,10807,331,154442,381
Krys-66,true,1.00,9882,615,9864,299,149737,431
Krys-67,true,1.00,11433,565,11430,354,191909,533
Krys-68,true,1.00,5412,431,5408,164,78820,444
Krys-69,true,1.00,11258,667,11255,341,184232,458
Krys-70,false,0.80,31638,999,31632,999,566094,545
Krys-71,true,1.00,8940,503,8938,272,148983,415
Krys-72,true,1.00,10264,574,10261,312,154916,479
Krys-73,false,0.80,31666,999,31665,999,556564,370
Krys-74,true,1.00,9504,464,9501,288,137340,460
Krys-75,true,1.00,11683,572,11680,356,166977,466
Krys-76,true,1.00,4720,435,4717,144,78707,477
Krys-77,true,1.00,4624,476,4619,140,73828,257
Krys-78,true,1.00,9144,584,9141,283,147354,557
Krys-79,true,1.00,9637,468,9636,292,139542,435
Krys-80,true,1.00,5745,516,5741,174,88727,353
Krys-81,true,1.00,5612,517,5609,171,87754,264
Krys-82,true,1.00,12335,552,12334,376,180130,465
Krys-83,false,0.91,31484,999,31481,999,566892,497
Krys-84,true,1.00,12207,506,12206,370,180037,391
Krys-85,true,1.00,8354,659,8349,253,131120,455
Krys-86,true,1.00,9072,480,9070,278,129432,431
Krys-87,true,1.00,9730,446,9727,295,138604,454
Krys-88,true,1.00,6601,556,6597,200,106362,481
Krys-89,true,1.00,8415,432,8413,258,123470,431
Krys-90,true,1.00,2246,459,2242,68,34923,216
Krys-91,true,1.00,7786,509,7784,236,117251,468
Krys-92,false,0.91,31458,999,31458,999,532747,501
Krys-93,true,1.00,5668,458,5665,172,85603,450
Krys-94,true,1.00,9570,523,9568,292,158792,395
Krys-95,true,1.00,10394,487,10391,318,146358,366
Krys-96,true,1.00,1686,463,1682,51,24328,244
Krys-97,true,1.00,11016,590,11013,334,155546,415
Krys-98,true,1.00,17955,672,17954,553,280638,535
Krys-99,true,1.00,13366,521,13364,405,192015,480
Krys-100,true,1.00,3628,466,3625,110,60099,232
