NDW:1.0
TTFW:1.0
DFPT:0.0
DFPAP:5.0
DFPMP:1.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,6430,447,6362,188,105012,280
Mario-2,true,1.00,5025,397,4964,143,52902,314
Mario-3,true,1.00,1975,346,1952,57,14568,141
Mario-4,true,1.00,7831,558,7758,229,135273,293
Mario-5,true,1.00,9613,555,9542,286,185680,542
Mario-6,true,1.00,4301,344,4293,130,128171,599
Mario-7,true,1.00,15107,652,15106,456,339607,615
Mario-8,true,1.00,152,554,98,3,2015,196
Mario-9,true,1.00,8428,458,8355,250,101065,417
Mario-10,true,1.00,4420,376,4379,132,67006,358
Mario-11,true,1.00,7486,405,7452,227,110034,319
Mario-12,true,1.00,17208,740,17195,521,258249,340
Mario-13,true,1.00,2806,369,2803,85,43919,291
Mario-14,true,1.00,7424,484,7420,225,113364,406
Mario-15,true,1.00,25793,992,25762,783,364700,375
