NDW:1.0
TTFW:1.0
DFPT:0.0
DFPAP:4.0
DFPMP:2.75
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,true,1.00,17595,636,17595,566,337411,599
patternCount-2,true,1.00,10758,521,10757,345,168596,334
patternCount-3,true,1.00,16109,544,16108,509,263053,514
patternCount-4,true,1.00,11080,553,11078,341,176078,254
patternCount-5,true,1.00,13177,544,13174,414,185254,418
patternCount-6,true,1.00,9841,566,9838,306,150938,399
patternCount-7,true,1.00,11782,519,11780,366,185459,403
patternCount-8,true,1.00,13199,619,13197,417,196867,255
patternCount-9,true,1.00,8544,498,8541,281,131687,400
patternCount-10,true,1.00,17061,621,17060,530,252337,517
patternCount-11,true,1.00,8012,689,7984,248,129360,142
patternCount-12,true,1.00,10294,510,10292,323,149103,406
patternCount-13,true,1.00,4955,379,4947,163,72881,297
patternCount-14,true,1.00,6768,441,6766,208,106079,320
patternCount-15,true,1.00,898,589,892,28,13549,95
patternCount-16,true,1.00,250,521,245,7,3003,159
patternCount-17,true,1.00,233,498,228,7,3491,107
patternCount-18,true,1.00,10463,496,10460,325,144026,286
patternCount-19,true,1.00,14091,590,14090,446,203882,337
patternCount-20,true,1.00,4818,481,4815,147,74741,171
patternCount-21,true,1.00,4590,601,4585,143,71332,161
patternCount-22,true,1.00,14187,583,14186,441,220520,324
patternCount-23,true,1.00,18060,658,18060,605,347339,402
patternCount-24,true,1.00,4591,668,4587,146,73971,281
patternCount-25,true,1.00,8118,418,8116,257,120936,418
patternCount-26,true,1.00,10296,453,10294,324,149860,326
patternCount-27,true,1.00,12575,590,12573,393,177757,365
patternCount-28,true,1.00,13667,588,13665,427,200288,442
patternCount-29,true,1.00,3105,495,3101,98,48952,193
patternCount-30,true,1.00,13927,513,13926,423,202715,342
patternCount-31,true,1.00,1716,439,1712,56,27428,210
patternCount-32,true,1.00,1555,412,1551,55,23758,249
patternCount-33,true,1.00,3728,599,3723,124,57377,169
patternCount-34,true,1.00,1554,550,1549,50,24136,128
patternCount-35,true,1.00,14356,572,14355,446,213481,294
patternCount-36,true,1.00,275,408,271,9,3634,107
patternCount-37,true,1.00,133,433,129,4,2067,247
patternCount-38,true,1.00,37,453,32,1,508,92
patternCount-39,true,1.00,5611,450,5608,179,86696,190
patternCount-40,true,1.00,6763,572,6758,211,108079,154
patternCount-41,true,1.00,5847,613,5842,184,86441,220
patternCount-42,true,1.00,7229,595,7226,221,115472,125
patternCount-43,true,1.00,10496,523,10494,325,164788,299
patternCount-44,true,1.00,9999,511,9997,325,146832,247
patternCount-45,true,1.00,8815,561,8812,275,141528,267
patternCount-46,true,1.00,12471,535,12469,391,175507,271
