NDW:1.0
TTFW:1.0
DFPT:0.0
DFPAP:5.0
DFPMP:10.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,13916,832,13912,421,224495,499
Krys-2,false,0.67,16832,540,16830,540,272083,528
Krys-3,false,0.70,31537,999,31536,999,614314,527
Krys-4,true,1.00,26017,908,26013,826,434851,586
Krys-5,true,1.00,10651,513,10649,327,174301,425
Krys-6,false,0.72,31797,999,31772,999,589530,623
Krys-7,true,1.00,12539,549,12538,380,213266,551
Krys-8,true,1.00,19330,842,19328,596,309927,493
Krys-9,true,1.00,10521,533,10518,320,190372,457
Krys-10,true,1.00,8614,529,8612,263,156790,415
Krys-11,true,1.00,17278,797,17260,523,282790,551
Krys-12,true,1.00,18560,784,18558,563,330967,635
Krys-13,true,1.00,9042,551,9039,274,158826,532
Krys-14,true,1.00,15998,591,15994,484,246580,487
Krys-15,true,1.00,12590,603,12588,382,236767,557
Krys-16,true,1.00,18747,797,18745,570,300061,516
Krys-17,true,1.00,15020,736,15017,456,257299,554
Krys-18,true,1.00,15151,801,15145,460,246915,521
Krys-19,true,1.00,13808,568,13807,429,235996,466
Krys-20,true,1.00,18678,839,18675,566,330315,572
Krys-21,true,1.00,9497,600,9470,289,175843,596
Krys-22,true,1.00,8391,621,8383,254,144070,508
Krys-23,true,1.00,13034,643,13031,395,221297,513
Krys-24,false,0.70,31638,999,31638,999,574965,463
Krys-25,false,0.92,31599,999,31597,999,612937,613
Krys-26,true,1.00,10389,501,10387,315,184440,608
Krys-27,false,0.58,31855,999,31855,999,546350,703
Krys-28,true,1.00,13193,707,13189,411,230540,574
Krys-29,true,1.00,16632,704,16630,512,294636,599
Krys-30,true,1.00,16141,822,16138,489,290544,643
Krys-31,true,1.00,17582,760,17580,534,280295,517
Krys-32,true,1.00,9240,560,9237,280,169920,539
Krys-33,true,1.00,13630,556,13628,418,216264,535
Krys-34,true,1.00,10428,697,10425,316,172611,508
Krys-35,true,1.00,12302,612,12300,374,229532,646
Krys-36,false,0.91,30882,999,30877,999,587389,527
Krys-37,true,1.00,10456,742,10452,325,188020,598
Krys-38,true,1.00,9244,675,9240,281,178871,568
Krys-39,true,1.00,10920,580,10918,343,194765,648
Krys-40,true,1.00,13929,610,13927,425,249968,512
Krys-41,true,1.00,16859,673,16857,515,323107,548
Krys-42,true,1.00,8144,483,8141,247,133149,550
Krys-43,true,1.00,17531,617,17530,532,285164,596
Krys-44,true,1.00,6341,653,6336,192,110972,449
Krys-45,false,0.80,31765,999,31765,999,526189,553
Krys-46,true,1.00,12438,673,12435,377,217192,553
Krys-47,true,1.00,20593,833,20590,628,372345,598
Krys-48,true,1.00,13126,673,13123,402,236658,346
Krys-49,true,1.00,13597,657,13594,416,223725,534
Krys-50,false,0.70,31558,999,31557,999,624268,554
Krys-51,true,1.00,14479,629,14477,448,260348,540
Krys-52,true,1.00,20088,889,20086,609,324548,530
Krys-53,true,1.00,13733,687,13730,416,240017,636
Krys-54,true,1.00,17992,808,17990,550,341192,501
Krys-55,true,1.00,9650,621,9646,293,171095,397
Krys-56,false,0.81,31406,999,31403,999,573554,730
Krys-57,true,1.00,10926,520,10923,335,167941,533
Krys-58,true,1.00,9599,681,9571,294,156163,528
Krys-59,false,0.49,31915,999,31915,999,591524,683
Krys-60,true,1.00,9380,666,9372,284,165574,565
Krys-61,true,1.00,11915,595,11912,364,214741,522
Krys-62,true,1.00,16107,755,16104,489,250248,447
Krys-63,true,1.00,15413,687,15411,479,266792,537
Krys-64,true,1.00,17097,836,17094,525,300464,571
Krys-65,true,1.00,8317,594,8314,252,132690,495
Krys-66,true,1.00,18450,749,18443,573,302521,509
Krys-67,true,1.00,15743,773,15738,487,281419,640
Krys-68,true,1.00,8246,580,8243,250,125380,478
Krys-69,true,1.00,13435,715,13424,407,228740,543
Krys-70,false,0.80,31607,999,31607,999,580342,428
Krys-71,true,1.00,12641,611,12639,386,225773,630
Krys-72,true,1.00,16428,742,16426,499,267519,505
Krys-73,false,0.80,31336,999,31336,999,599243,497
Krys-74,true,1.00,12140,526,12139,368,196579,551
Krys-75,true,1.00,13169,564,13167,405,206902,550
Krys-76,false,0.48,9372,284,9372,284,189131,569
Krys-77,true,1.00,12805,629,12803,390,229468,520
Krys-78,false,0.37,31277,999,31277,999,653190,662
Krys-79,true,1.00,14350,631,14347,435,246848,487
Krys-80,true,1.00,14521,677,14519,440,248639,546
Krys-81,true,1.00,13959,694,13956,423,239327,485
Krys-82,true,1.00,10099,521,10097,310,156800,483
Krys-83,false,0.91,31416,999,31415,999,604092,623
Krys-84,true,1.00,15708,578,15707,480,260716,506
Krys-85,true,1.00,11720,771,11716,355,204336,463
Krys-86,true,1.00,13959,671,13956,424,225828,555
Krys-87,true,1.00,10137,732,10131,310,158041,485
Krys-88,true,1.00,10491,680,10488,319,180233,538
Krys-89,true,1.00,13074,511,13073,400,213168,527
Krys-90,true,1.00,6303,547,6300,191,110097,390
Krys-91,true,1.00,8648,517,8645,264,137841,468
Krys-92,false,0.91,31261,999,31260,999,557014,571
Krys-93,true,1.00,13166,660,13164,399,224550,545
Krys-94,true,1.00,12242,543,12241,371,222105,488
Krys-95,true,1.00,10495,536,10492,318,167077,433
Krys-96,true,1.00,7418,486,7416,225,124223,414
Krys-97,true,1.00,16026,722,16024,486,250399,529
Krys-98,true,1.00,23498,941,23496,725,416341,520
Krys-99,true,1.00,16663,773,16660,509,263071,528
Krys-100,true,1.00,9201,491,9199,280,176084,632
