NDW:1.0
TTFW:1.0
DFPT:0.0
DFPAP:1.0
DFPMP:9.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,15454,660,15394,463,359309,848
Mario-2,true,1.00,20838,718,20829,624,446289,751
Mario-3,true,1.00,15357,549,15311,460,378934,833
Mario-4,true,1.00,16683,799,16620,501,379065,782
Mario-5,true,1.00,19078,821,19049,575,447403,673
Mario-6,false,0.41,7792,252,7791,252,188837,664
Mario-7,true,1.00,26216,944,26195,793,611290,766
Mario-8,true,1.00,11691,486,11670,357,248711,673
Mario-9,true,1.00,20727,751,20690,624,347208,754
Mario-10,true,1.00,13935,547,13933,427,224440,457
Mario-11,true,1.00,22643,760,22643,691,335898,517
Mario-12,true,1.00,31188,1069,31169,948,534263,582
Mario-13,true,1.00,10174,417,10173,309,169172,464
Mario-14,true,1.00,16082,619,16051,487,258800,550
Mario-15,true,1.00,51060,1644,51060,1562,796943,538
