NDW:1.0
TTFW:1.0
DFPT:0.0
DFPAP:7.0
DFPMP:9.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,true,1.00,23826,802,23825,771,458143,646
patternCount-2,true,1.00,19243,764,19242,611,331150,571
patternCount-3,true,1.00,20020,848,20016,637,343857,561
patternCount-4,true,1.00,14291,688,14288,441,250133,488
patternCount-5,true,1.00,17226,651,17225,541,276602,532
patternCount-6,true,1.00,30064,968,30063,918,460186,535
patternCount-7,true,1.00,14883,592,14881,461,255031,542
patternCount-8,true,1.00,19887,709,19886,637,345498,592
patternCount-9,true,1.00,13828,579,13827,444,233312,582
patternCount-10,true,1.00,30287,941,30263,924,449638,574
patternCount-11,true,1.00,17739,772,17734,541,318414,535
patternCount-12,true,1.00,16252,608,16251,509,255696,533
patternCount-13,true,1.00,9973,380,9972,318,152048,515
patternCount-14,true,1.00,21121,697,21121,657,332399,456
patternCount-15,true,1.00,10449,623,10446,331,184336,525
patternCount-16,true,1.00,1623,464,1619,52,28646,410
patternCount-17,true,1.00,12503,533,12502,382,220466,497
patternCount-18,true,1.00,18647,584,18645,572,294704,603
patternCount-19,true,1.00,14007,588,13990,443,228883,526
patternCount-20,true,1.00,10279,570,10277,316,165920,237
patternCount-21,true,1.00,14061,720,14057,432,238752,555
patternCount-22,true,1.00,18925,713,18924,577,307283,391
patternCount-23,true,1.00,24475,853,24472,795,450049,766
patternCount-24,true,1.00,15397,719,15395,492,276520,548
patternCount-25,true,1.00,30391,980,30390,925,455481,506
patternCount-26,true,1.00,17854,605,17853,562,282605,520
patternCount-27,true,1.00,15712,701,15704,491,264054,460
patternCount-28,true,1.00,30062,974,30062,914,474333,563
patternCount-29,false,0.85,31487,999,31487,999,533902,612
patternCount-30,true,1.00,21699,743,21698,662,357894,534
patternCount-31,true,1.00,8479,484,8477,267,150363,495
patternCount-32,true,1.00,9342,600,9339,296,164318,558
patternCount-33,true,1.00,12044,569,12042,379,183812,607
patternCount-34,true,1.00,13879,603,13877,451,245371,513
patternCount-35,true,1.00,30096,979,30095,932,468594,578
patternCount-36,true,1.00,8494,493,8491,269,144274,415
patternCount-37,true,1.00,4726,384,4724,149,83624,602
patternCount-38,true,1.00,5282,541,5279,174,92212,326
patternCount-39,false,0.94,31457,999,31456,999,561726,599
patternCount-40,true,1.00,13237,639,13233,417,232096,550
patternCount-41,true,1.00,16844,712,16842,513,291709,516
patternCount-42,true,1.00,13118,665,13116,411,226335,584
patternCount-43,true,1.00,17006,656,17005,528,275074,638
patternCount-44,true,1.00,13582,556,13581,432,216706,481
patternCount-45,true,1.00,11417,626,11415,353,198270,501
patternCount-46,true,1.00,30324,988,30324,939,486892,564
patternCount-47,true,1.00,16334,644,16333,506,286632,573
patternCount-48,true,1.00,7284,519,7281,221,125152,549
patternCount-49,true,1.00,13990,517,13989,449,235621,567
patternCount-50,true,1.00,15040,691,15038,466,259795,496
patternCount-51,true,1.00,10987,503,10986,348,161537,584
patternCount-52,true,1.00,10297,583,10295,315,173795,499
patternCount-53,true,1.00,15115,576,15114,484,251755,570
patternCount-54,true,1.00,13025,578,13024,405,223921,610
patternCount-55,true,1.00,13864,582,13863,441,259951,692
patternCount-56,true,1.00,12109,532,12107,388,187417,591
patternCount-57,false,0.96,31645,999,31645,999,497120,634
patternCount-58,true,1.00,14751,585,14749,455,254422,553
patternCount-59,true,1.00,13420,508,13419,411,217062,481
patternCount-60,true,1.00,13044,577,13042,408,209763,576
patternCount-61,true,1.00,10230,531,10228,321,173403,556
patternCount-62,true,1.00,18079,625,18079,570,303531,481
patternCount-63,true,1.00,15514,594,15513,480,249034,488
patternCount-64,true,1.00,12584,578,12581,387,215811,514
patternCount-65,true,1.00,10835,488,10833,343,173876,416
patternCount-66,true,1.00,30231,966,30231,927,464315,581
