dfpap,dfpmp,%win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0,0.00,0.47,0.49,727633,111660,725812,22968,16848330,845
0,0.25,0.47,0.49,704906,110914,702960,22237,15448601,952
0,0.50,0.47,0.50,697763,110619,695856,21978,15200784,937
0,0.75,0.47,0.49,689348,111029,687277,21781,14764982,912
0,1.00,0.48,0.50,611146,110185,609331,19285,13070846,840
0,1.25,0.48,0.50,593239,111566,591296,18637,12101567,811
0,1.50,0.48,0.50,548349,111663,546587,17178,11178710,800
0,1.75,0.48,0.49,646996,116356,645343,20388,12873282,735
0,2.00,0.48,0.49,692219,118240,690489,21734,13521394,811
0,2.25,0.48,0.49,753836,118827,751761,23532,14292054,772
0,2.50,0.48,0.49,846604,120070,845017,26374,16032554,896
0,2.75,0.48,0.50,1125084,119430,1123510,34936,19963838,899
0,3.00,0.48,0.50,1368730,120568,1367451,42485,24978945,768
1,0.00,0.47,0.49,703285,111207,701328,22143,15111162,900
1,0.25,0.48,0.50,681054,110650,679286,21416,14551128,949
1,0.50,0.48,0.50,652591,110678,650716,20574,14302095,843
1,0.75,0.47,0.50,675644,111214,673522,21238,13942901,842
1,1.00,0.48,0.50,567414,110558,565319,17862,11965174,870
1,1.25,0.48,0.50,543774,111684,541864,17076,10881909,889
1,1.50,0.48,0.50,586452,114085,584427,18417,11656719,772
1,1.75,0.48,0.49,634695,117167,633010,19922,12338317,734
1,2.00,0.48,0.49,733245,117924,731687,22956,13279793,669
1,2.25,0.48,0.50,856240,118316,854399,26659,14721115,813
1,2.50,0.48,0.50,1034370,119023,1032819,32149,17956830,965
1,2.75,0.48,0.49,1251979,119210,1250533,38884,22536119,799
1,3.00,0.47,0.49,1581815,120739,1580549,49158,28755927,920
10,0.00,0.47,0.50,2112077,122725,2110762,65633,36461422,855
10,0.25,0.47,0.50,1940934,115173,1939660,60463,32655625,831
10,0.50,0.47,0.49,2080736,117326,2079544,64929,32855094,941
10,0.75,0.47,0.50,1965389,117953,1964230,61254,34371953,931
10,1.00,0.47,0.49,2000668,116980,1999442,62331,32169490,819
10,1.25,0.48,0.50,1946526,117750,1945311,60651,33292633,849
10,1.50,0.48,0.50,2034812,117617,2033643,63402,32096735,834
10,1.75,0.48,0.50,1972535,119122,1971443,61398,33300031,854
10,2.00,0.48,0.50,2096610,121167,2095449,65149,34788280,807
10,2.25,0.47,0.49,2228015,121271,2226791,69222,34631671,834
10,2.50,0.48,0.50,2142307,121445,2141107,66485,36204230,868
10,2.75,0.48,0.50,2333115,123099,2331920,72413,37565704,839
10,3.00,0.48,0.50,2343985,124727,2342896,72758,40420721,840
2,0.00,0.48,0.50,632161,111383,630543,19894,14688949,988
2,0.25,0.47,0.50,725154,112531,723410,22765,15073496,922
2,0.50,0.48,0.50,716821,112369,714862,22538,14453178,937
2,0.75,0.48,0.50,651493,113022,649582,20490,14872522,896
2,1.00,0.48,0.50,630952,113741,629101,19860,13928302,966
2,1.25,0.48,0.50,633824,113909,631990,19808,13010630,753
2,1.50,0.48,0.49,715792,115594,713891,22363,13878205,796
2,1.75,0.48,0.50,752816,117472,751080,23471,14117220,707
2,2.00,0.47,0.49,908857,118919,907266,28417,16756299,854
2,2.25,0.48,0.50,1030668,117993,1029140,32120,18508478,675
2,2.50,0.48,0.50,1354570,117765,1353084,42152,22211567,794
2,2.75,0.48,0.50,1538389,118827,1537015,47826,26725942,963
2,3.00,0.47,0.49,1841610,122342,1840305,57259,31751622,835
3,0.00,0.47,0.50,835520,114532,833828,26126,16944495,814
3,0.25,0.48,0.50,773241,113865,771623,24147,16020680,941
3,0.50,0.48,0.50,746570,114664,745101,23327,16747280,956
3,0.75,0.47,0.50,886684,114518,884983,27688,16513611,849
3,1.00,0.47,0.49,988109,115137,986526,30841,17551098,749
3,1.25,0.48,0.50,943182,113318,941627,29286,16192187,724
3,1.50,0.48,0.50,998678,115063,997067,31080,17713814,720
3,1.75,0.48,0.50,1166871,116621,1165246,36235,19884568,595
3,2.00,0.48,0.49,1349654,117817,1348220,42006,23256782,683
3,2.25,0.48,0.49,1341374,117168,1339941,41734,25177748,843
3,2.50,0.48,0.50,1555884,117497,1554527,48308,26784617,903
3,2.75,0.48,0.50,1582807,120382,1581553,49155,32186630,1013
3,3.00,0.48,0.50,2073884,120727,2072635,64369,33695616,741
4,0.00,0.47,0.50,1248502,113493,1247110,39025,23161408,785
4,0.25,0.48,0.50,1323658,113149,1322122,41274,22591823,828
4,0.50,0.47,0.50,1240060,112832,1238647,38729,22847699,963
4,0.75,0.47,0.50,1289049,113379,1287656,40264,23336521,894
4,1.00,0.47,0.50,1294799,113109,1293391,40423,23431344,859
