dfpap,dfpmp,%win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0,0.00,0.56,0.58,644894,110665,643139,20419,17518212,984
0,1.00,0.56,0.59,605043,110574,603039,19101,13067967,840
0,10.00,0.53,0.58,3490527,147328,3489470,108244,62994124,846
0,2.00,0.56,0.58,671730,118145,670014,21070,13120833,784
0,3.00,0.57,0.58,1410863,120489,1409461,43686,25696212,902
0,4.00,0.56,0.58,2326967,128121,2325801,72062,42141019,882
0,5.00,0.56,0.58,2831830,133422,2830821,87708,50471849,852
0,6.00,0.54,0.58,3315315,142389,3314308,102801,56069741,882
0,7.00,0.53,0.58,3531279,146883,3530320,109567,58942478,830
0,8.00,0.54,0.58,3453547,145899,3452481,107021,60233747,873
0,9.00,0.52,0.57,3600234,148026,3599423,111805,59907870,808
1,0.00,0.56,0.59,690492,111091,688675,21760,14837668,812
1,1.00,0.57,0.59,549886,109683,547901,17287,11125333,842
1,10.00,0.54,0.58,3368911,145139,3368039,104565,72089959,1066
1,2.00,0.56,0.58,729615,118598,727923,22851,14043613,757
1,3.00,0.56,0.58,1560205,120016,1558711,48462,27486284,920
1,4.00,0.57,0.59,2362393,127763,2361413,73137,43082048,878
1,5.00,0.56,0.58,2881744,133918,2880829,89299,51219886,858
1,6.00,0.54,0.58,3296875,141541,3295838,102228,57287881,890
1,7.00,0.53,0.57,3543108,147296,3542217,109934,59343602,1011
1,8.00,0.53,0.58,3475757,147005,3474849,107795,62155786,872
1,9.00,0.53,0.57,3512593,146179,3511678,108938,60400354,848
10,0.00,0.57,0.59,1858771,115308,1857520,57855,32150195,846
10,1.00,0.56,0.59,1891361,117068,1890106,58943,32996615,859
10,10.00,0.53,0.58,3656281,152397,3655198,113285,66414623,995
10,2.00,0.56,0.58,2040475,120796,2039340,63542,35456173,854
10,3.00,0.57,0.59,2293363,124485,2292109,71127,40656195,868
10,4.00,0.56,0.58,2689024,131393,2687975,83297,50353853,920
10,5.00,0.55,0.58,3170130,141864,3169159,98139,62641431,1057
10,6.00,0.54,0.58,3260479,141465,3259514,101024,61871416,993
10,7.00,0.53,0.58,3363098,143969,3362211,104333,65298133,1044
10,8.00,0.53,0.58,3477906,146582,3476929,107836,61643345,846
10,9.00,0.53,0.58,3682618,152562,3681589,114080,67760650,995
2,0.00,0.57,0.59,599974,110920,598310,18867,14628490,966
2,1.00,0.56,0.59,611038,113777,609296,19221,13682785,862
2,10.00,0.54,0.58,3554860,147122,3554024,110214,59213127,904
2,2.00,0.56,0.58,862370,118736,860828,27002,16991372,854
2,3.00,0.56,0.58,1642282,121848,1641023,51021,32580598,896
2,4.00,0.57,0.59,2306890,127320,2305822,71442,45605561,1079
2,5.00,0.56,0.58,2934196,134664,2933320,90814,52230296,898
2,6.00,0.54,0.58,3248734,141023,3247692,100681,58483548,908
2,7.00,0.53,0.58,3404211,144615,3403357,105554,60424074,961
2,8.00,0.53,0.58,3484202,146600,3483353,108072,61315758,846
2,9.00,0.53,0.57,3567057,147560,3566249,110678,59873480,872
3,0.00,0.56,0.59,809675,113492,808001,25288,15646115,794
3,1.00,0.56,0.59,911786,113985,910217,28455,16800363,859
3,10.00,0.53,0.58,3495339,146481,3494348,108379,60804759,860
3,2.00,0.56,0.58,1308843,117802,1307337,40713,22931792,854
3,3.00,0.57,0.59,2029785,120789,2028528,63059,33749993,868
3,4.00,0.56,0.58,2592743,129001,2591802,80247,45517798,880
3,5.00,0.56,0.58,2952446,134347,2951397,91370,51589478,848
3,6.00,0.55,0.58,3288457,140719,3287599,101866,56015826,843
3,7.00,0.54,0.58,3438185,145538,3437317,106624,61776093,906
3,8.00,0.53,0.58,3472625,146308,3471712,107665,60959361,839
3,9.00,0.53,0.57,3502935,147108,3502012,108622,62956504,848
4,0.00,0.56,0.59,1248436,113180,1247033,38975,22898149,785
4,1.00,0.56,0.59,1290507,112430,1289085,40290,23235620,859
4,10.00,0.53,0.58,3517568,146636,3516631,109085,61318589,854
4,2.00,0.56,0.58,1673404,116706,1672187,52189,28779929,854
4,3.00,0.56,0.59,2178993,121779,2177824,67764,36934985,849
4,4.00,0.56,0.58,2669541,128462,2668459,82619,43864740,865
4,5.00,0.55,0.58,3095913,136064,3094909,95885,51522513,833
4,6.00,0.54,0.58,3401500,142867,3400571,105519,56325679,827
4,7.00,0.53,0.57,3576781,147486,3575929,110939,59508069,900
4,8.00,0.53,0.58,3508085,147929,3507057,108770,62539515,880
4,9.00,0.53,0.58,3493953,147684,3492984,108308,62431762,846
5,0.00,0.56,0.59,1699602,113190,1698178,53110,28453713,820
5,1.00,0.56,0.59,1695086,113774,1693748,52879,29101682,859
5,10.00,0.53,0.58,3649001,151965,3648032,113006,67632661,1076
5,2.00,0.56,0.58,1873718,117723,1872508,58407,32462434,854
5,3.00,0.56,0.58,2263668,123043,2262655,70344,38979621,849
5,4.00,0.56,0.58,2634508,128470,2633486,81592,47039448,817
